id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_odgj,satuan,tahun
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1000,ORANG,2021
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1982,ORANG,2021
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,4072,ORANG,2021
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1321,ORANG,2021
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,466,ORANG,2021
73,32,JAWA BARAT,3271,KOTA BOGOR,1184,ORANG,2021
74,32,JAWA BARAT,3272,KOTA SUKABUMI,494,ORANG,2021
75,32,JAWA BARAT,3273,KOTA BANDUNG,3311,ORANG,2021
76,32,JAWA BARAT,3274,KOTA CIREBON,406,ORANG,2021
77,32,JAWA BARAT,3275,KOTA BEKASI,2234,ORANG,2021
78,32,JAWA BARAT,3276,KOTA DEPOK,1563,ORANG,2021
79,32,JAWA BARAT,3277,KOTA CIMAHI,957,ORANG,2021
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,773,ORANG,2021
81,32,JAWA BARAT,3279,KOTA BANJAR,112,ORANG,2021
